,category,system,instruction,context,question,response
4291,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: Acer Predator Helios 300, Price: Rs. 1,48,000, Features: Intel i7, 16GB RAM, RTX 3060.",Acer Predator Helios 300 gaming laptop ho?,"Ho, Acer Predator Helios 300 gaming laptop ho."
4292,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali sanskriti ma ek dharmik uthsav ra usko visheshta lekhnu.,"Indra Jatra ek dharmik uthsav ho, jun Hindu ra Buddhist dharma ko sammelan ra samuhik utsav ko rup ma manaiincha."
4293,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda badi rajnaitik kendra Kathmandu ho. Kathmandu, Nepal ko rajdhani ho, jaha rajneeti, sanskriti, ra aarthik kendra haru chhan. Kathmandu ma Nepal ko sabai pramukh rajnaitik dal haru ra aarthik sanstha haru baseka chhan. Kathmandu le Nepal ko anek sheher haru sanga jodcha, ra yahaan kehi rajnaitik aur samajik karyakram haru ho rahecha, jun desh ko pragati ma mahatvapurn yogdan puryaune chhan.",Nepal ko sabai bhanda badi rajnaitik kendra kahan cha?,Kathmandu ho.
4294,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali cinema ko movie ko ticket kasari buy garne?,Nepali cinema ko movie ticket online platforms ya theater box office bata buy garne.
4295,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali parvat ma ek himal ko naam ra tyo ko tourism ma yogdan lekhnu.,"Annapurna Himal Nepali parvat ko prasiddha himal ho, jun trekking tourism ko mukhya ghatak ho."
4296,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The evening was spent on the beach, watching the waves crash against the shore while the children built sandcastles and adults relaxed on mats, enjoying the cool sea breeze.","Shaajh ko samaya samundra ko kinara ma bitayo, jaba tarang kinara ma thaadiyo ra bachha haru baluwa ko mahal banai ra thiyo, ra bada haru maath mathi basi samundra ko chiso havo ko aanand liera aram gardai thiye."
4297,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,"Nepali parikar ma momo ek atyanta lokpriya dish ho. Tarkari, maasu, ra paneer ko momo sabai ko manparne ho. Kathmanduma momo ko thuprai dukan haru dekhna sakinchha.","Momo Nepali lokpriya dish ho, Kathmanduma thuprai dukan chhan."
4298,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"Even though the journey was long and tiring, they couldnâ€™t stop smiling as they thought about finally meeting their family.","Yatra lamo ra thakai lagdo hune bahek pani, pariwar lai bhetnu ko sochera uniharu haseko chhodena."
4299,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timro manparcha Nepali author ko name bhanana?,"Mero manparcha Nepali author Bhanubhakta Acharya ho, mero favorite 'Ramayana' unai le lekheko ho."
4300,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timi ko idea le chai hamro approach redefine garna sakcha.,Your idea can help redefine our approach.
4301,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The museum had an exhibit featuring rare artifacts from ancient civilizations.,Museum ma purano sabhyata bata rare samaan haru dekhaiyo.
4302,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"yo cycle chalnu chai ekdam fun lagyo. pahila ta ali garho jasto lagyo, tara aba chai ramailo huncha jasto lagcha. aba chai bholi pheri try garna man lagcha.","Riding this cycle was really fun. At first, it felt a bit difficult, but now I think it's going to be enjoyable. I want to try it again tomorrow."
4303,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The city looks magical at night with all the lights and decorations during the festival.,Sahar festival ko bela raat ma batti ra sajawat le ekdam sundar dekhcha.
4304,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma 'Entrepreneurship' ko meaning ke ho?,'Entrepreneurship' ko arth Nepali ma 'Udyamshilta' ho.
4305,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Product availability check garna product page ma 'Check Availability' option use garnuhos. Discounts festive season ma up to 50% cha. Refund cancel bhaepachi start hunchha.,Product availability kasari check garne?,Product availability check garna product page ma 'Check Availability' option use garnuhos.
4306,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The farmer woke up before sunrise every day, tending to his fields and taking care of his livestock.","Kisan harek din gham udhna agadi nai uthcha, afno khet khetala hercha ani janawar haru ko dhyan rakhcha."
4307,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Yo prasiddha Nepali story ko naam dinus.,Seto Bagh.
4308,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Climate change ko main cause greenhouse gas emission ho, jun fossil fuel burning, deforestation, ra industrial activities ko karan le huncha.",Climate change ko main cause k ho?,Climate change ko main cause greenhouse gas emissions ho.
4309,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha chhath parv, jo Mithila anchal ma manincha, ek dharmik tyohaar ho jaha Surya devata ko aradhana garincha. Chhath parv, Nepal ko maithili sanskriti ko ek mahatvapurn hissa ho, jaha suryasta aur suryodaya ko samayma upwas ra pooja garincha. Yaha parv le lok sanskriti ko samarthan garne kaam garincha, jaha ghar parivaar ra samudaay ko ekjut garincha.",Nepal ko prasiddha chhath parv ko mahattva ke ho?,"Chhath parv, Nepal ko maithili sanskriti ko ek mahatvapurn tyohaar ho, jaha Surya devata ko pooja ra dharmik sampradaya ko anubhav garincha."
4310,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Daily exercise routine kasari maintain garne?,"Daily exercise routine maintain garna fixed time ma workout garne habit banaucha. Warm-up le injury ko risk kam garne ani workout suru garna madad garcha. Balanced routine ko lagi cardio, strength training, ani flexibility exercises include garne. Rest days ko importance lai samjhera over-exercise garnu hudaina. Motivation ko lagi fitness partner ya tracker use garna sakcha."
4311,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Yo kaam ta efficient approach le complete garna milcha.,This work can be completed with an efficient approach.
4312,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Ajha kehi kura tha huncha ki?,Will we get to know anything more?
4313,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",37,Yo sankhya prime ho ki hoina patta laganuhos.,37 ek prime sankhya ho.
4314,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko environment ko sthiti majboot cha, tara yo paryavaran ko sanrakshan ko lagi anek challenges raheko cha. Jangalat ra paryatan ko sthiti badheko cha.",Nepal ko environment ko sthiti kasto cha?,Nepal ko environment ko sthiti majboot cha.
4315,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"kina ta aaja ko shopping ekdam hectic feel bhayo? maile chai ekdam simple plan banayeko thiyo, tara crowded shops le pura thakaideko.","Why did today's shopping feel so hectic? I had made a simple plan, but the crowded shops completely exhausted me."
4316,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Mitho tarkari banaundai simple recipe bhanana?,"Tarkari banaundai, pyaj, lasun bhutera, tarka masala halera aloo ra tama milayera banau. Mitho huncha!"
4317,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Mero lagi ek cup chiya leu na.,"Get me a cup of tea, please."
4318,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Din ma chhata lina parcha ki rati?,"Rati chhata lina pardaina, din ma matra lina parcha, khas gari jaba garmi ya pani huncha."
4319,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Urbanization in Nepal has led to better infrastructure and job opportunities, but it also creates challenges like pollution and unplanned settlements.",Nepal ma urbanization ko impact ko barema bataunus.,"Nepal ma urbanization better infrastructure ra job opportunities ko lagi beneficial cha, tara pollution ra unplanned settlements jastai challenges pani create garcha."
4320,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Garmi ma dherai thaknu ko reason ke huncha?,Garmi ma thaknu ko reason body ko dehydration ani excessive sweating ho.
4321,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,bazar jane bela ma maile unexpected traffic jam le ekdam frustrated feel gare. aba chai mero pura schedule derai late bhayo ra sabai kaam adjust garna parcha. tara aba maile chai calm ra positive mindset le agadi plan banayera priority ma important kaam haru padhna suru gareko chu. yo lesson le maile ta unexpected situation ma focus haraundaina bhanne sikne opportunity diyeko cha.,"While going to the market, I felt very frustrated because of an unexpected traffic jam. My entire schedule got delayed, and I had to adjust all my tasks. However, I started planning ahead with a calm and positive mindset, focusing on the important tasks first. This situation taught me to not lose focus in unexpected circumstances."
